	Primary English Name	Secondary English Names	Primary Hebrew Name	Secondary Hebrew Names	Birth Year 	Birth Place	Death Year	Death Place	Halachic Era	English Biography	Hebrew Biography	English Wikipedia Link	Hebrew Wikipedia Link	Jewish Encyclopedia Link	Brill Online Reference Words (Encyclopedia of Jewish in the Islamic, Encyclopedia of the Hebrew Language, Encyclopedia of Judaism)
56	Brisker Rav	R. Velvel Soloveitchik, Yizhak Zev Halevi Soloveitchik	"גרי""ז"	יצחק זאב הלוי סולובייצ'יק	1886.0	Valozhyn	1959.0	Jerusalem	Achronim	"Yitzchok Zev (Velvel) Halevi Soloveitchik (Gri""z), also known as the ""Brisker Rav,"" was the last rabbi of the town of Brisk  (Brest, Belarus) before the Holocaust. His father, R. Chaim Soloveitchik, was rosh yeshiva of the Volozhin yeshiva, while his maternal grandfather, R. Rafael Shapira was its long-time Rosh Yeshiva. He was an extraordinary learner, and was said to have memorized the entire Babylonian Talmud, along with Rashi, by age 16. After the closing of the Volozhin yeshiva, the family moved to Brisk, where his paternal grandfather, R. Yosef Ber Soloveitchik, was Rav. The position then passed to his father and later to himself. He Holocaust forced him to flee to Jerusalem, where he maintained a position of non-participation with the Israeli government, including opposition to receiving government funding for yeshivot. His children and followers founded several yeshivas in Jerusalem, all known as Brisk."	"יצחק זאב (וועלוועל) הלוי סולובייצ'יק (הגרי""ז), הידוע גם בתור ""הרב מבריסק"", היה הרב האחרון בעיר בריסק (ברסט, בלרוס) לפני השואה. אביו, רבי חיים סולובייצ'יק, היה ראש ישיבת וולוז'ין, בעוד סביו מצד אמו, רבי רפאל שפירא, כיהן שם כראש הישיבה לתקופה ארוכה. היה למדן יוצא דופן, ואומרים ששינן את כל התלמוד הבבלי ואת פירושו של רש""י עד גיל 16. אחרי שנסגרה ישיבת וולוז'ין עברה המשפחה לבריסק ושם סביו מצד אביו, רבי יוסף בער סולובייצ'יק, היה הרב. אחר כך עבר התפקיד לאביו ומאוחר יותר אליו. השואה אילצה אותו לנוס לירושלים, שם עמדתו הייתה לא לשתף פעולה עם הממשלה הציונית, והוא התנגד לקבלת כספים ממשלתיים לישיבות. ילדיו וממשיכי דרכו הקימו כמה ישיבות בירושלים, וכולם ידועות בשם ""ישיבת בריסק""."	https://en.wikipedia.org/wiki/Yitzchok_Zev_Soloveitchik	https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%96%D7%90%D7%91_%D7%94%D7%9C%D7%95%D7%99_%D7%A1%D7%95%D7%9C%D7%95%D7%91%D7%99%D7%99%D7%A6%27%D7%99%D7%A7		
57	Joseph ben Meir Teomim	Pri Megadim, Teivat Gome 	יעקב בן מאיר תאמים	תיבת גומא, פרי מגדים	1727.0	Lviv	1792.0	Frankfurt an der Oder	Achronim	Yosef ben Meir Teomim was a Polish/German posek and Talmud scholar. In 1744 he left Lemberg (Lvov) for Komarno, where he married and served as the town melamed, devoting many hours to learning and composing his various works. In 1767, he moved to Berlin in order to devote himself undisturbed to his studies and his writing, and it was there that he published some of his works. Upon the death of his father, the townspeople of Lemberg implored him to take the former's place. After several years, he finally agreed, and in 1774 he returned to serve as dayan, darshan (preacher) and rabbi of Lemberg. In 1781 he was appointed rabbi and av beit din in Frankfurt. Though he published several works on different Torah subjects, his fame derives from Pri Megadim, a comprehensive super-commentary on Shulchan Aruch  and its early commentaries.	"יוסף בן מאיר תאומים היה פוסק ואיש תלמוד פולני/גרמני. ב-1744 עזב את למברג (לבוב) ונסע לקומרנו. שם התחתן ושירת כמלמד הקהילה. הקדיש שעות רבות ללימוד ולכתיבת חיבוריו. ב-1767 עבר לברלין כדי שיוכל ללמוד ולכתוב ללא הפרעה, ושם פרסם כמה מחיבוריו. לאחר מות אביו, אנשי העיר למברג ביקשו ממנו שייקח את מקומו. לאחר כמה שנים הסכים, וב-1774 חזר לכהן כדיין, דרשן ורב בלמברג. ב-1781 מונה לתפקיד הרב ואב בית הדין בפרנקפורט. אף על פי שפרסם כמה חיבורים בענייני תורה שונים, שמו יצא בזכות ""פרי מגדים"", פירוש-על מקיף על השולחן ערוך ועל פירושיו המוקדמים."	https://en.wikipedia.org/wiki/Joseph_ben_Meir_Teomim	https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%A1%D7%A3_%D7%AA%D7%90%D7%95%D7%9E%D7%99%D7%9D	http://www.jewishencyclopedia.com/articles/14324-te-omim-joseph-ben-meir	
58	Isaac ben Joseph Caro	Toledot Yitschak	יצחק בן יוסף קארו	תולדות יצחק	1458.0	Toledo, Spain	1535.0	Jerusalem	Achronim	Yitzchak ben Yosef Caro was a Spanish rosh yeshiva, posek, preacher and physician. He was the uncle of R. Yosef Caro, author of the Shulchan Aruch, who consulted him on halachic matters. He studied under Rabbi Yitzchak Canpanton in Toledo, and subsequently moved to Lisbon and opened a yeshiva. He underwent the expulsions of Jews from Spain in 1492 and from Portugal in 1497. He eventually made his way to Istanbul, but all but one of his sons died during the journey. It is reported that he set out for the Land of Israel, but it is not known whether he arrived.	יצחק בן יוסף היה ראש ישיבה, פוסק, דרשן ורופא ספרדי. היה דודו של רבי יוסף קארו, מחבר השולחן ערוך, שנועץ בו בעניינים הלכתיים. למד אצל רבי יצחק קנפנטון בטולדו, ובעקבות זאת עבר לליסבון ופתח ישיבה. עבר את גירוש ספרד ב-1492 ופורטוגל ב-1497. עם הזמן הגיע לאיסטנבול, אך חוץ מבן אחד, כולם מתו בדרך. אומרים כי נסע לכיוון ארץ ישראל אך לא ידוע אם אכן הגיע.	https://en.wikipedia.org/wiki/Isaac_Karo	https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%A7%D7%90%D7%A8%D7%95		
59	Abudarham	David ben Josef ben David Abudarham	אבודרהם	דוד בן יוסף בן דוד אבודרהם	1320.0		1390.0		Rishonim	David ben Yosef Abudraham (mid. 14th century) was a Spanish rabbi and commentator on Jewish liturgy. His best known work is Sefer Abudraham, one of the earliest and most widely accepted commentaries on Jewish liturgy. He was closely connected to the Rosh and his son, R. Yaakov Ba'al HaTurim.	"דוד בן יוסף אבודרהם (אמצע המאה ה-14) היה רב ופרשן תפילה ספרדי. חיבורו המפורסם ביותר הוא ""ספר אבודרהם"", אחד הפירושים המוקדמים והידועים ביותר לליטורגיה יהודית. היה קשור הדוקות לרא""ש ולבנו, רבי יעקב בעל הטורים."	https://en.wikipedia.org/wiki/David_Abudirham	https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93_%D7%90%D7%91%D7%95%D7%93%D7%A8%D7%94%D7%9D	http://www.jewishencyclopedia.com/articles/690-abudarham-david-ben-joseph-ben-david	
60	Benno Jacob		בנו יעקב		1862.0	Wrocław	1945.0	London	Achronim	Benno Jacob was a Reform German rabbi and Biblical commentator. He earned a doctoral degree from the University of Breslau. He served as rabbi in a number of communities until 1929, when he turned his attentions to completing his Biblical commentary. He was prominent in the fight against anti-Semitism, and he often wrote articles and spoke out publicly on the topic. He was an opponent of Zionism, which he saw as leading to secularization and loss of faith. His work has not been translated from German; Those familiar with his insightful and often unique takes on Biblical passages were in many cases introduced to his work by Nechama Leibowitz, who greatly admired his work and quoted his commentaries frequently.	"בנו יעקב היה רב רפורמי גרמני ופרשן מקרא. קיבל תואר דוקטורט מאוניברסיטת ברסלאו. כיהן כרב בכמה קהילות עד 1929, ולאחר מכן התמקד בהשלמת פירושו למקרא. היה פעיל במאבק נגד אנטישמיות, ולעתים קרובות כתב מאמרים ונאם בנושא. התנגד לציונות כי האמין שתוביל לחילוניות ולאיבוד האמונה. חיבורו לא תורגם מגרמנית; אלה המכירים את תובנותיו העמוקות והייחודיות על פסוקים מהתנ""ך יודעים על כך לעתים קרובות דרך נחמה ליבוביץ, שהעריכה את עבודתו וציטטה רבות את פירושיו."	https://en.wikipedia.org/wiki/Benno_Jacob	https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%95_%D7%99%D7%A2%D7%A7%D7%91	http://www.jewishencyclopedia.com/articles/8394-jacob-benno	
62	Ovadiah Bartenura	Ovadiah of Bertinoro	רב עובדיה מברטנורא		1445.0	Bertinoro	1515.0	Jerusalem	Achronim	Ovadiah MiBartenura was an Italian rabbi, banker, Mishnaic commentator and community leader. He studied under Maharik Kolon in Bolonya. In 1485 he began a 2.5 year journey to the Land of Israel, evidently upon the death of his wife. He visited in many communities along the way, eventually settling in Jerusalem. He quickly became prominent, and labored unceasingly to restore Jewish communal life, both material and spiritual, there to the prominence it had lacked for so long. He was largely successful in his efforts; he reestablished a hevra kadisha in which he actively served, as well as a yeshiva upon the arrivals of learned Spanish exiles. He was recognized as a halachic authority, served as chief rabbi of Jerusalem (recognized as such also by the Moslem authorities), succeeded in reducing the tax burden upon the community, and revived the use of Hebrew by delivering his weekly Shabbat sermons in the holy tongue. His commentary on Mishnah is to the Mishnah what Rashi's is to the Talmud – basic, straightforward, and indispensable to this day.	"עובדיה מברטנורא היה רב, בנקאי, פרשן משנה ומנהיג קהילה איטלקי. למד בבולוניה אצל המהרי""ק מקולון. ב-1485 יצא למסע שבסופו של דבר ארך שנתיים וחצי לכיוון ארץ ישראל, כנראה בעקבות מותה של אישתו. ביקר בקהילות רבות לאורך הדרך ולבסוף התיישב בירושלים. בתוך זמן קצר נעשה רב חשוב, ועמל ללא הרף כדי להחיות מחדש את חיי הקהילה היהודית שם, מבחינה חומרית ורוחנית, לאחר שכבר זמן רב איבדה הקהילה מחשיבותה. לרוב הצליח במאמציו; הוא הקים מחדש את החברה קדישא ואף שירת בה בעצמו, וכן ייסד ישיבה שנועדה להכיל מלומדים רבים שהגיעו לארץ לאחר גירושם מספרד. היה בעל סמכות הלכתית, שירת כרב הראשי של ירושלים (שבה הוכר גם בקרב הסמכויות המוסלמיות), הצליח להפחית את נטל המס מעל כתפי הקהילה, והחיה את השימוש בשפה העברית באמצעות הדרשות שנשא כל שבוע בלשון הקודש. פירושו למשנה הוא למשנה מה שרש""י הוא לתלמוד – בסיסי, ברור והכרחי, עד היום."	https://en.wikipedia.org/wiki/Obadiah_ben_Abraham_Bartenura	https://he.wikipedia.org/wiki/%D7%A2%D7%95%D7%91%D7%93%D7%99%D7%94_%D7%9E%D7%91%D7%A8%D7%98%D7%A0%D7%95%D7%A8%D7%90	http://www.jewishencyclopedia.com/articles/3171-bertinoro-obadiah-yareh-b-abraham	
63	Eliyahu ben Abraham Mizrahi	Re'em	אליהו בן אברהם מזרחי	"רא""ם"	1445.0	Constantinople	1525.0	Constantinople	Achronim	"Eliyahu Mizrachi was a Talmudic and Biblical commentator and posek who served as Chief Rabbi (Chakham Bashi) of Turkey. In addition to his mastery of Torah literature, he knew Greek and Arabic and was well-tutored in secular subject, particularly astronomy and mathematics. He is credited with devising a method of finding cube roots. He was born in Constantinople and studied under R' Eliyahu Zaken of Constantinople and R' Yehuda Mintz of Padua. In 1500, he succeeded Rabbi Moshe Capsali as Chief Rabbi of Turkey, and was appointed by the sultan to continue his predecessor's practice of adjudicating disputes between Jews. Although he cancelled the prohibition against teaching Talmud to Karaite students and was known for his great tolerance, he opposed intermarriage with Karaites. He also opposed what he considered foolish customs, and maintained that they were not binding. He worked tirelessly for communal welfare despite his own frail constitution, especially assisting the wave of Spanish Jews who came to the Ottoman Empire with the Spanish expulsion. His most famous work is his super commentary on Rashi's Torah commentary. Other works are ""Tosafei S'MaG"" on the S'MaG, ""Teshuvot Re'em"" responsa, and a work on mathematics entitled ""Sefer HaMispar""."	"אליהו מזרחי היה פרשן תלמוד ומקרא ופוסק, שכיהן כרב ראשי (חכם באשי) של טורקיה. נוסף על בקיאותו בספרות התורה, הוא ידע יוונית וערבית והיה מלומד בנושאים כלליים, ובמיוחד באסטרונומיה ובמתמטיקה. נודע בזכות המצאת שיטה למציאת שורשי קובייה. הוא נולד בקושטא ולמד מפי ר' אליהו זקן ור' יהודה מינץ. בשנת 1500 הוא ירש את מקומו של רבי משה קפשאלי כחכם באשי, משמרת שעמד בה עד יום מותו. כמו הרב הקודם לו, נתכבד לישב בבית המשפט של הסולטן על כסא לימין המופתי, לשמוע ולדון במשפטי היהודים. הוא ביטל את האיסור שהיה נהוג אז על הוראת התלמוד לתלמידי קראים והיה ידוע בסובלנותו הגדולה, אבל למרות זה קיים את איסור החיתון עם הקראים. הוא התנגד למה שהוא החשיב ""מנהגים מטופשים"", וטען כי הם אינם מחייבים. הוא עבד ללא לאות לרווחת הקהילה היהודית למרות גופו השברירי, ובמיוחד סייע לגל של יהודים ספרדיים שהגיעו לאימפריה העות'מנית עם גירוש ספרד. חיבורו המפורסם ביותר הוא פירושו לפירוש רש""י על התורה, הנקרא על שמו ""מזרחי"". הוא גם חיבר ספר שו""ת, ספר ""תוספות סמ""ג"" המכיל חידושים על הסמ""ג ונדפס עמו, וספר על חכמת החשבון הנקרא ""ספר המספר""."	https://en.wikipedia.org/wiki/Elijah_Mizrachi	https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%94%D7%95_%D7%9E%D7%96%D7%A8%D7%97%D7%99	http://www.jewishencyclopedia.com/articles/10894-mizrahi	
64	Maharal	Judah Loew ben Bezalel	"מהר""ל"	רבי יהודה ליווא בן בצלאל	1520.0	Poznań	1609.0	Prague	Achronim	Yehuda Loew ben Bezalel, the Maharal of Prague, was a Bohemian rabbi, Talmudist, mystically inclined philosopher and community leader whose writings left an indelible impression on both his own generation as well as subsequent generations of Ashkenazic Jewry.  His numerous philosophical works became cornerstones of Jewish thought and had a profound influence on Chassidic teaching and some of the most prominent thinkers of modern Orthodoxy, including Rav Kook. He also wrote halachic works, including a commentary on the Arba'ah Turim. He had a close relationship with the famous astronomer Tycho Brahe. Amongst his students were R. Yom Tov Lipmann Heller (Tosafot Yom Tov) and the historian R David Ganz (Tzemach David). He is famously associated with the creation of the Golem of Prague in popular literature from centuries later.	"ר' יהודה ליווא בן בצלאל, המהר""ל מפראג, היה רב, איש תלמוד, בעל נטיות קבליות, פילוסוף ומנהג קהילה בוהמי שהשפיע השפעה נצחית על דורו ועל הדורות הבאים של יהדות אשכנז. חיבוריו הפילוסופיים הרבים נעשו אבני דרך במחשבת ישראל והשפיעו עמוקות על רעיונות חסידיים ועל גדולי ההוגים באורתודוקסיה המודרנית, כולל הרב קוק. כתב גם חיבורים הלכתיים, כולל פירוש על הארבעה טורים. היה בעל יחסים קרובים עם האסטרונום טיכו ברהה. בין תלמידיו אפשר למצוא את רבי יום טוב ליפמן הלר (התוספות יום טוב) וההיסטוריון רבי יהודה גנז (הצמח דוד). מפורסם בקשרו לגולם מפראג בספרות פופולרית שנכתבה בדורות שלאחר מכן."	https://en.wikipedia.org/wiki/Judah_Loew_ben_Bezalel	https://he.wikipedia.org/wiki/%D7%9E%D7%94%D7%A8%22%D7%9C_%D7%9E%D7%A4%D7%A8%D7%90%D7%92	http://www.jewishencyclopedia.com/articles/10029-lisser-joshua-falk	
65	David Altschuler		רבי דוד אלטשולר		1687.0		1769.0	Jaworów, Poland	Achronim	David Altshuler was an 18th century Biblical commentator. Originally from the Iberian peninsula, his wanderings led him to Eastern Europe, where he served as rabbi of Jaworów, Poland. His notes and writings on Tanach were assembled by his son, Yehiel Hillel, and published under the name Metzudot.	"דוד אלטשולר היה פרשן מקרא מהמאה ה-18. במקור מחצי האי האיברי. מסעיו הובילו אותו למזרח אירופה, ושם הוא כיהן כרב ביבוריב, פולין. הערותיו וכתביו על התנ""ך נאספו בידי בנו, יחיאל הלל, והוצאו לאור תחת השם ""מצודות""."		https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93_%D7%90%D7%9C%D7%98%D7%A9%D7%95%D7%9C%D7%A8	http://www.jewishencyclopedia.com/articles/1335-altschul-altschuler-altschueler	
66	Jedidiah Solomon ben Abraham Norzi		רבי ידידיה שלמה רפאל נוֹרְצִי		1560.0	Mantua	1626.0	Mantua	Achronim	Yedidiah Solomon ben Abraham Nortsi was an Italian rabbi, Biblical scholar and grammarian. He served as rabbi of Mantua for some thirty years. In order to collect the works and manuscripts necessary for his magisterial work Minchat Shai, he made many trips abroad from Italy, sparing no effort to gather all the variant readings of Biblical texts, no matter how seemingly minor.	ידידיה שלמה בן אברהם נורצי היה רב איטלקי, איש מקרא ודקדקן. כיהן כרבה של מנטואה במשך שלושים שנה. כדי לאסוף את החיבורים והכתבים הנדרשים ליצירתו הסמכותית מנחת שי, נסע פעמים רבות מאיטליה לארצות אחרות ולא חסך שום מאמץ לקבץ את כל הקריאות השונות של הטקסטים המקראיים, גם את אלה שנראה מינוריים.	https://en.wikipedia.org/wiki/Jedidiah_Norzi	https://he.wikipedia.org/wiki/%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94_%D7%A9%D7%9C%D7%9E%D7%94_%D7%A8%D7%A4%D7%90%D7%9C_%D7%A0%D7%95%D7%A8%D7%A6%D7%99		
68	Yoel ben Shmuel Sirkes	Joel ben Samuel Sirkis, Bach	יואל בן שמואל סירקיש	"ב""ח"	1561.0	Lublin	1640.0	Kraków	Achronim	Yoel Sirkes was a Polish rabbi, halachic scholar and Talmudic annotator. His best-known work, Bait Chadash, is one of the basic commentaries (together with R Yosef Karo's Beit Yosef) on R. Yaakov ben Asher's halachic code, the Arba'ah Turim. Hagahot Habach are his indispensable glosses on the text of the Talmud. The Taz was his son-in-law.	"יואל סירקיש היה רב, איש הלכה ופרשן תלמוד פולני. חיבורו הידוע ביותר, ""בית חדש"", הוא אחד הפירושים הבסיסיים ביותר (יחד עם ה""בית יוסף"" של רבי יוסף קארו) על הקובץ ההלכתי של רבי יעקב בן אשר, הארבעה טורים. הגהות הב""ח הן הגהות חשובות של הרב סירקיש על התלמוד. הט""ז היה חתנו."	https://en.wikipedia.org/wiki/Joel_Sirkis	https://he.wikipedia.org/wiki/%D7%99%D7%95%D7%90%D7%9C_%D7%A1%D7%99%D7%A8%D7%A7%D7%99%D7%A9	http://www.jewishencyclopedia.com/articles/8456-jacob-b-samuel-sirkes	
69	Shabbatai ben Meir Hakohen	Siftei Cohen, Shakh	שבתי בן מאיר הכהן	"ש""ך"	1621.0	Vilna	1662.0	Holleschau	Achronim	Shabbatai Hakohen – better known as Shach, after the acronym of his most famous work – was a Lithuanian/Polish rabbi, halachic scholar and Talmudic commentator. He was raised in Vilna, and studied in Tykotzin, Cracow and Lublin. He returned to Vilna, where he married the daughter of the wealthy great-grandson of the Rema, and served in the beit din of R. Yehuda Lima. In 1655, he, along with the entire Jewish community, fled from the advancing Swedish army. He eventually became rav of Holešov. His grave there remains a pilgrimage site to this day.  His great work, Siftei Kohen, is one of the most important commentaries on the Shulchan Aruch. His rulings were widely accepted by Ashkenazic Jewry as authoritative. He also wrote critical comments on the Turei Zahav of R. David ben Shmuel Halevi, his older contemporary whom he honored greatly but to whom he did not defer.	"שבתי הכהן – הידוע בכינויו ""הש""ך"", על שם ראשי התיבות של חיבורו המפורסם ""שפתי כהן""  – היה רב, איש הלכה ופרשן תלמוד ליטאי/פולני. גדל בווילנה ולמד בטיקוצין, בקראקא ובלובלין. חזר לווילנה, ושם נישא לבתו של נינו העשיר של הרמ""א ושימש בבית הדין של רבי יהודה לימא. ב-1655 ברחו הוא וכל הקהילה היהודית מהצבא השוודי המתקרב. לאחר זמן נעשה לרב של הלישוי. לאחר מותו נקבר שם ועד היום משמש קברו כמקום לעלייה לרגל. חיבורו הידוע, שפתי כהן, הוא אחד הפירושים החשובים על השולחן ערוך. פסיקותיו התקבלו בקהילות רבות ביהדות אשכנז. כתב גם הערות ביקורתיות על ה""טורי זהב"" לרבי דוד בן שמואל הלוי, בן דורו המבוגר ממנו, שאותו כיבד מאוד אך את פסיקותיו לא תמיד קיבל."	https://en.wikipedia.org/wiki/Shabbatai_HaKohen	https://he.wikipedia.org/wiki/%D7%A9%D7%91%D7%AA%D7%99_%D7%9B%D7%94%D7%9F	http://www.jewishencyclopedia.com/articles/13474-shabbethai-b-meir-ha-kohen-shak	
70	David HaLevi Segal	Turei Zahav, Taz	דוד הלוי סגל	"ט""ז"	1586.0	Ludmir, Volhynia	1667.0	Lemberg	Achronim	David Halevi Segal, known as the Taz after the name of his most famous work, was a Polish rabbi, halachic scholar and Talmudic commentator. His best-known work, Turei Zahav, is one of the basic commentaries on the Shulchan Aruch (on all four sections, most prominently on Yoreh Deah and Orach Chayyim). He responded to Shach's critiques of his expositions and decisions in a separate work, and also authored Divrei David, a supercommentary on Rashi's Torah commentary. R. Yoel Sirkes (Bach) was his father-in-law.	"דוד הלוי סגל, הידוע בכינויו הט""ז המשקף את ראשי התיבות של חיבורו המפורסם, היה רב, איש הלכה ופרשן תלמוד פולני. חיבורו הידוע ביותר, טורי זהב, הוא אחד הפירושים הבסיסיים על השולחן ערוך (על כל ארבעת חלקיו, אך בעיקר על יורה דעה ואורח חיים). הוא השיב בחיבור נפרד לביקורת של הש""ך על פרשנותו ועל פסקיו, וכן כתב את ""דברי דוד"", פירוש-על על פירושו של רש""י לתורה. רבי יואל סירקיש (הב""ח) היה חותנו."	https://en.wikipedia.org/wiki/David_HaLevi_Segal	https://he.wikipedia.org/wiki/דוד_הלוי_סגל	http://www.jewishencyclopedia.com/articles/4979-david-b-samuel-ha-levi	
71	Yaakov Emden	Ya'avetz	יעקב עמדין	"יעב""ץ"	1697.0	Altona	1776.0	Altona	Achronim	"Yaakov Emden was a German rabbi, Talmudist and polemicist, son of the Chacham Tzvi. He is most well-known for his publicly promoted and literarily defended campaign against Rabbi Yonatan Eibeschutz, who he accused of being a hidden Sabbatean. He published many works, amongst which is a highly regarded and republished siddur with extensive commentary, and a collection of responsa titled ""She'ilat Ya'avetz"", as well as annotations on the Talmud and other works. "	"יעקב עמדין, בנו של החכם צבי, היה רב, איש תלמוד ופולמוסן גרמני. ידוע בעיקר בגלל חששותיו על רבי יונתן אייבשיץ, שחשד בו שהוא שבתאי נסתר. הוציא לאור ספרים רבים, ובהם סידור חשוב בעל פירוש מקיף שפורסם מחדש, אוסף של שו""ת שכותרתן ""שאילת יעבץ"", והגהות על תלמוד בבלי ועוד ספרים. "	https://en.wikipedia.org/wiki/Jacob_Emden	https://he.wikipedia.org/wiki/יעקב_עמדין	http://www.jewishencyclopedia.com/articles/5730-emden-jacob-israel-ben-zebi-ashkenazi	
72	Yom-Tov Lipmann Heller	Tosafot Yom Tov	יום-טוב ליפמן הלר	תוספות יום טוב	1579.0	Wallerstein, Bavaria	1654.0	Krakow	Achronim	Yom-Tov Lipmann Heller was a Bohemian rabbi and talmudist. His best-known work, Tosafot Yom Tov, is one of the basic commentaries on the Mishnah. He also wrote Ma'adanei Yom Tov, an important commentary on Piskei HaRosh of Rabbi Asher ben Yechiel. He studied under the Maharal of Prague, and served as Chief Rabbi of Vienna and Prague. Many prominent rabbis of subsequent generations are his descendants.	"יום טוב ליפמן הלר היה איש תלמוד ורב בוהמי. חיבורו הידוע ביותר, תוספות יום טוב, הוא אחד הפירושים הבסיסיים למשנה. כתב גם את ה""מעדני יום טוב"", פירוש חשוב לפסקי הרא""ש לרבי אשר בן יחיאל. למד אצל המהר""ל מפראג וכיהן כרבה של וילנה ופראג. רבנים חשובים רבים בדורות שאחרי כן הם צאצאיו."	https://en.wikipedia.org/wiki/Yom-Tov_Lipmann_Heller	https://he.wikipedia.org/wiki/יום-טוב_ליפמן_הלר	http://www.jewishencyclopedia.com/articles/7542-heller-yom-tob-lipmann-ben-nathan-ben-moses-levi	
74	Solomon Buber		שלמה בובר		1826.0	Lemberg, Galicia	1906.0	Lemberg, Galicia	Achronim	Solomon (or Salomon) Buber was a scholar and editor of Hebrew works, particularly known for his original research and prolific explication of midrashic literature. He wrote elaborate and exhaustive commentaries of midrashic works including Pesikhta de-Rab Kahana, Midrash Abkir, Midrash Tanchuma, Midrash Tehillim, Midrash Shmuel and Midrash Mishle. He was also the primary teacher of his grandson, Martin Buber, who lived with him from the age of three.	שלמה בובר היה מלומד ועורך של טקסטים עבריים, וידוע במיוחד בזכות מחקרו המקורי ופירושו השופע לספרות המדרש. כתב פירושים מקיפים ומעמיקים למדרשים, כולל הפסיקתא דרב כהנא, מדרש אבכיר, מדרש תנחומא, מדרש תהילים, מדרש שמואל ומדרש משלי. היה גם המורה העיקרי של נכדו, מרטין בובר, שחי איתו מגיל שלוש.	https://en.wikipedia.org/wiki/Salomon_Buber	https://he.wikipedia.org/wiki/שלמה_בובר		
75	Eliyahu David Rabinowitz Teomim	Aderet	אליהו דוד רבינוביץ' תאומים	"אדר""ת"	1843.0	Pikeliai, Russia	1905.0	Jerusalem	Achronim	"Eliyahu David Rabinowitz Teomim, known by his acronym ""Aderet"", was a Lithuanian rabbi and Talmudist who served, toward the end of his life, as leader of the Ashkenazic community in Jerusalem.  He wrote many works filled with original insights in all areas of Torah. Rabbi Avraham Yitzchak Hakohen Kook was his son-in-law."	"אליהו דוד רבינוביץ' תאומים, הידוע בראשי התיבות ""אדר""ת"", היה רב ואיש תלמוד ליטאי ששימש לקראת סוף חייו כמנהיג הקהילה האשכנזית בירושלים. כתב חיבורים רבים, מלאים בתובנות מקוריות, בכל תחומי התורה. רבי אברהם יצחק הכהן קוק היה חתנו."	https://en.wikipedia.org/wiki/Eliyahu_David_Rabinowitz-Teomim	https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%94%D7%95_%D7%93%D7%95%D7%93_%D7%A8%D7%91%D7%99%D7%A0%D7%95%D7%91%D7%99%D7%A5%27_%D7%AA%D7%90%D7%95%D7%9E%D7%99%D7%9D	http://www.jewishencyclopedia.com/articles/12514-rabinowitz-elijah-david-ben-benjamin	
76	Johanan Treves	Yochanan ben Yosef	יוחנן בן יוסף טריוויש		1490.0		1557.0		Achronim	Italian rabbi and scholar in the early 16th century. He was also an author, publisher, and writer of responsa. Widely known is his commentary on the festival prayer book according to the Roman rite, published anonymously under the title 'Kimcha D'Avishuna' (Bologna, 1540). He was extremely active as a proofreader of midrashic works and in the establishment of accurate readings of the tractates he studied with his pupils. His glosses to the Halakhot of R' Isaac Alfasi (Rif), his approbations to the works of his contemporaries, and his responsa, are extant today. He also compiled a commentary on the laws of kosher slaughter and the halakhot of issur v'heter of the Mordekhai by Mordekhai b. Hillel (Venice, 1550). His piyutim and poems are also known. Of his three sons the best known is Raphael Joseph who was a posek, as well as a book publisher. 				https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/treves-johanan-ben-joseph	
77	Rabbi Eliyahu Ben Harush		אליהו בן הרון		1815.0	Sefrou	1883.0	Sefrou	Achronim	Rabbi Eliyahu Ben Harush was a 19th century Moroccan rabbi. He was known for his great humility and constant devotion to Torah study. His sermons and poetry were also highly admired. He served briefly as the chief rabbi of Alkatzar, but did not find it to his liking and returned to his home of Sefrou after only a short time. He wrote a commentary on the Chumash and the Haggadah.	"רבי אליהו בן הרוש היה רב מרוקאי במאה ה-19. היה ענוותן גדול ומסור ללימוד תורה. דרשותיו ושירותיו היו מושאים להעצה רבה. כיהן במשך תקופה קצרה כרבה הראשי של אלקצר, אך לא נהנה מכך וחזר לביתו בספרו לאחר זמן קצר. חיבוריו: 'ברכת אליהו' - חידושים על התנ""ך, ו'כוס אליהו' - ביאור להגדה של פסח."				
78	Tevele Bondi		טעבעלה באנדי		1800.0		1890.0		Achronim	"Prominent member of the Frankfurt community in late 19th century, author of ""Maarechet Heidenheim"", a commentary on the Pesach Haggadah."	"חד מיקירי קהילה פרנקפורט דמיין (מדף השער של פירושו על הגדה של פסח, הנקרא ""מערכת היידנהיים"")."				
